sexo,edad,weights,educ,perc,type
hombre,54,3282316,no_lic,0.815,all
hombre,55,3260528,lic_law,0.02,all
hombre,55,3260528,lic_non_law,0.169,all
hombre,55,3260528,no_lic,0.81,all
hombre,56,3077388,lic_law,0.017,all
hombre,56,3077388,lic_non_law,0.171,all
hombre,56,3077388,no_lic,0.812,all
hombre,57,2946151,lic_law,0.013,all
hombre,57,2946151,lic_non_law,0.176,all
hombre,57,2946151,no_lic,0.811,all
hombre,58,2733211,lic_law,0.022,all
hombre,58,2733211,lic_non_law,0.185,all
hombre,58,2733211,no_lic,0.792,all
hombre,59,2626313,lic_law,0.017,all
hombre,59,2626313,lic_non_law,0.18,all
hombre,59,2626313,no_lic,0.803,all
hombre,60,2826899,lic_law,0.024,all
hombre,60,2826899,lic_non_law,0.181,all
hombre,60,2826899,no_lic,0.794,all
hombre,61,2556759,lic_law,0.02,all
hombre,61,2556759,lic_non_law,0.183,all
hombre,61,2556759,no_lic,0.797,all
hombre,62,2298172,lic_law,0.019,all
hombre,62,2298172,lic_non_law,0.184,all
hombre,62,2298172,no_lic,0.797,all
hombre,63,2388798,lic_law,0.015,all
hombre,63,2388798,lic_non_law,0.181,all
hombre,63,2388798,no_lic,0.803,all
hombre,64,2195673,lic_law,0.014,all
hombre,64,2195673,lic_non_law,0.172,all
hombre,64,2195673,no_lic,0.814,all
hombre,65,2234359,lic_law,0.014,all
hombre,65,2234359,lic_non_law,0.163,all
hombre,65,2234359,no_lic,0.822,all
hombre,66,2061634,lic_law,0.017,all
hombre,66,2061634,lic_non_law,0.169,all
hombre,66,2061634,no_lic,0.813,all
hombre,67,1793859,lic_law,0.013,all
hombre,67,1793859,lic_non_law,0.155,all
hombre,67,1793859,no_lic,0.832,all
hombre,68,1763661,lic_law,0.018,all
hombre,68,1763661,lic_non_law,0.155,all
hombre,68,1763661,no_lic,0.827,all
hombre,69,1569103,lic_law,0.014,all
hombre,69,1569103,lic_non_law,0.146,all
hombre,69,1569103,no_lic,0.84,all
hombre,70,1598862,lic_law,0.014,all
hombre,70,1598862,lic_non_law,0.158,all
hombre,70,1598862,no_lic,0.828,all
hombre,71,1392964,lic_law,0.013,all
hombre,71,1392964,lic_non_law,0.137,all
hombre,71,1392964,no_lic,0.85,all
hombre,72,1327241,lic_law,0.015,all
hombre,72,1327241,lic_non_law,0.115,all
hombre,72,1327241,no_lic,0.87,all
hombre,73,1310187,lic_law,0.016,all
hombre,73,1310187,lic_non_law,0.141,all
hombre,73,1310187,no_lic,0.843,all
hombre,74,1136717,lic_law,0.017,all
hombre,74,1136717,lic_non_law,0.112,all
hombre,74,1136717,no_lic,0.871,all
hombre,75,1187026,lic_law,0.021,all
hombre,75,1187026,lic_non_law,0.095,all
hombre,75,1187026,no_lic,0.884,all
hombre,76,1059481,lic_law,0.015,all
hombre,76,1059481,lic_non_law,0.1,all
hombre,76,1059481,no_lic,0.886,all
hombre,77,894397,lic_law,0.016,all
hombre,77,894397,lic_non_law,0.074,all
hombre,77,894397,no_lic,0.91,all
hombre,78,862784,lic_law,0.018,all
hombre,78,862784,lic_non_law,0.089,all
hombre,78,862784,no_lic,0.894,all
hombre,79,811891,lic_law,0.012,all
hombre,79,811891,lic_non_law,0.091,all
hombre,79,811891,no_lic,0.897,all
hombre,80,771820,lic_law,0.012,all
hombre,80,771820,lic_non_law,0.1,all
hombre,80,771820,no_lic,0.888,all
hombre,81,640744,lic_law,0.014,all
hombre,81,640744,lic_non_law,0.087,all
hombre,81,640744,no_lic,0.899,all
hombre,82,522424,lic_law,0.006,all
hombre,82,522424,lic_non_law,0.082,all
hombre,82,522424,no_lic,0.912,all
hombre,83,500143,lic_law,0.006,all
hombre,83,500143,lic_non_law,0.076,all
hombre,83,500143,no_lic,0.918,all
hombre,84,436394,lic_law,0.006,all
hombre,84,436394,lic_non_law,0.07,all
hombre,84,436394,no_lic,0.924,all
hombre,85,404908,lic_law,0.009,all
hombre,85,404908,lic_non_law,0.053,all
hombre,85,404908,no_lic,0.937,all
hombre,86,361387,lic_law,0.007,all
hombre,86,361387,lic_non_law,0.041,all
hombre,86,361387,no_lic,0.953,all
hombre,87,283695,lic_law,0.017,all
hombre,87,283695,lic_non_law,0.034,all
hombre,87,283695,no_lic,0.949,all
hombre,88,236398,lic_law,0.004,all
hombre,88,236398,lic_non_law,0.05,all
