group,ingocup,weights,income_perc,median
Mujeres no abogadas,2967,318,0,8586
Mujeres no abogadas,3000,188182,1.2,8586
Mujeres no abogadas,3010,84993,0.5,8586
Mujeres no abogadas,3040,205,0,8586
Mujeres no abogadas,3050,313,0,8586
Mujeres no abogadas,3080,216,0,8586
Mujeres no abogadas,3096,6834,0,8586
Mujeres no abogadas,3100,945,0,8586
Mujeres no abogadas,3122,99,0,8586
Mujeres no abogadas,3140,1100,0,8586
Mujeres no abogadas,3156,129,0,8586
Mujeres no abogadas,3161,147,0,8586
Mujeres no abogadas,3182,122,0,8586
Mujeres no abogadas,3200,23809,0.1,8586
Mujeres no abogadas,3220,777,0,8586
Mujeres no abogadas,3225,37983,0.2,8586
Mujeres no abogadas,3268,105,0,8586
Mujeres no abogadas,3290,170,0,8586
Mujeres no abogadas,3300,421,0,8586
Mujeres no abogadas,3333,1929,0,8586
Mujeres no abogadas,3340,33,0,8586
Mujeres no abogadas,3350,129,0,8586
Mujeres no abogadas,3354,1081,0,8586
Mujeres no abogadas,3375,21,0,8586
Mujeres no abogadas,3400,16914,0.1,8586
Mujeres no abogadas,3420,121,0,8586
Mujeres no abogadas,3436,476,0,8586
Mujeres no abogadas,3440,152128,1,8586
Mujeres no abogadas,3488,541,0,8586
Mujeres no abogadas,3500,21006,0.1,8586
Mujeres no abogadas,3520,426,0,8586
Mujeres no abogadas,3526,26,0,8586
Mujeres no abogadas,3547,194,0,8586
Mujeres no abogadas,3560,33,0,8586
Mujeres no abogadas,3569,94,0,8586
Mujeres no abogadas,3590,127,0,8586
Mujeres no abogadas,3600,69864,0.4,8586
Mujeres no abogadas,3612,1944,0,8586
Mujeres no abogadas,3655,4268,0,8586
Mujeres no abogadas,3660,420,0,8586
Mujeres no abogadas,3667,104,0,8586
Mujeres no abogadas,3686,247,0,8586
Mujeres no abogadas,3700,6346,0,8586
Mujeres no abogadas,3720,271,0,8586
Mujeres no abogadas,3740,1209,0,8586
Mujeres no abogadas,3745,4433,0,8586
Mujeres no abogadas,3746,763,0,8586
Mujeres no abogadas,3748,1598,0,8586
Mujeres no abogadas,3749,65,0,8586
Mujeres no abogadas,3750,1528,0,8586
Mujeres no abogadas,3760,1443,0,8586
Mujeres no abogadas,3762,438,0,8586
Mujeres no abogadas,3784,953,0,8586
Mujeres no abogadas,3800,11391,0.1,8586
Mujeres no abogadas,3809,41,0,8586
Mujeres no abogadas,3810,89,0,8586
Mujeres no abogadas,3840,2583,0,8586
Mujeres no abogadas,3860,111,0,8586
Mujeres no abogadas,3870,93757,0.6,8586
Mujeres no abogadas,3880,264,0,8586
Mujeres no abogadas,3897,26,0,8586
Mujeres no abogadas,3900,438,0,8586
Mujeres no abogadas,3913,141,0,8586
Mujeres no abogadas,3950,136,0,8586
Mujeres no abogadas,3956,91,0,8586
Mujeres no abogadas,3978,156,0,8586
Mujeres no abogadas,4000,274929,1.7,8586
Mujeres no abogadas,4060,50,0,8586
Mujeres no abogadas,4080,246,0,8586
Mujeres no abogadas,4085,5773,0,8586
Mujeres no abogadas,4100,935,0,8586
Mujeres no abogadas,4128,1546,0,8586
Mujeres no abogadas,4162,115,0,8586
Mujeres no abogadas,4166,184,0,8586
Mujeres no abogadas,4167,24,0,8586
Mujeres no abogadas,4171,682,0,8586
Mujeres no abogadas,4200,25805,0.2,8586
Mujeres no abogadas,4210,356,0,8586
Mujeres no abogadas,4212,229,0,8586
Mujeres no abogadas,4214,3445,0,8586
Mujeres no abogadas,4300,432341,2.7,8586
Mujeres no abogadas,4306,74,0,8586
Mujeres no abogadas,4307,4889,0,8586
Mujeres no abogadas,4308,464,0,8586
Mujeres no abogadas,4310,657,0,8586
Mujeres no abogadas,4316,115,0,8586
Mujeres no abogadas,4325,73,0,8586
Mujeres no abogadas,4334,512,0,8586
Mujeres no abogadas,4342,185,0,8586
Mujeres no abogadas,4350,102,0,8586
Mujeres no abogadas,4370,370,0,8586
Mujeres no abogadas,4386,607,0,8586
Mujeres no abogadas,4400,32128,0.2,8586
Mujeres no abogadas,4401,259,0,8586
Mujeres no abogadas,4408,176,0,8586
Mujeres no abogadas,4429,282,0,8586
Mujeres no abogadas,4446,56,0,8586
Mujeres no abogadas,4470,85,0,8586
Mujeres no abogadas,4490,72,0,8586
Mujeres no abogadas,4500,24782,0.2,8586
Mujeres no abogadas,4515,9687,0.1,8586
Mujeres no abogadas,4526,74,0,8586
Mujeres no abogadas,4590,262,0,8586
Mujeres no abogadas,4600,40536,0.3,8586
Mujeres no abogadas,4601,1211,0,8586
Mujeres no abogadas,4644,7197,0,8586
Mujeres no abogadas,4669,144,0,8586
Mujeres no abogadas,4700,1679,0,8586
Mujeres no abogadas,4710,41,0,8586
Mujeres no abogadas,4730,44043,0.3,8586
Mujeres no abogadas,4750,50,0,8586
Mujeres no abogadas,4758,481,0,8586
Mujeres no abogadas,4773,519,0,8586
Mujeres no abogadas,4777,958,0,8586
Mujeres no abogadas,4794,108,0,8586
Mujeres no abogadas,4800,33080,0.2,8586
Mujeres no abogadas,4816,552,0,8586
Mujeres no abogadas,4837,121,0,8586
Mujeres no abogadas,4900,1090,0,8586
Mujeres no abogadas,4945,2252,0,8586
Mujeres no abogadas,4964,77,0,8586
Mujeres no abogadas,4970,291,0,8586
Mujeres no abogadas,4971,968,0,8586
Mujeres no abogadas,5000,371289,2.3,8586
Mujeres no abogadas,5031,247,0,8586
Mujeres no abogadas,5040,52,0,8586
Mujeres no abogadas,5074,1276,0,8586
Mujeres no abogadas,5082,115,0,8586
Mujeres no abogadas,5096,51,0,8586
Mujeres no abogadas,5100,1157,0,8586
Mujeres no abogadas,5151,233,0,8586
Mujeres no abogadas,5160,306577,1.9,8586
Mujeres no abogadas,5180,368,0,8586
Mujeres no abogadas,5182,349,0,8586
Mujeres no abogadas,5186,382,0,8586
Mujeres no abogadas,5190,25,0,8586
Mujeres no abogadas,5200,36781,0.2,8586
Mujeres no abogadas,5212,616,0,8586
Mujeres no abogadas,5223,126,0,8586
Mujeres no abogadas,5246,100,0,8586
Mujeres no abogadas,5250,941,0,8586
Mujeres no abogadas,5255,12033,0.1,8586
Mujeres no abogadas,5267,115,0,8586
Mujeres no abogadas,5289,461,0,8586
Mujeres no abogadas,5300,1139,0,8586
Mujeres no abogadas,5330,71,0,8586
Mujeres no abogadas,5332,104,0,8586
Mujeres no abogadas,5356,189,0,8586
Mujeres no abogadas,5357,59,0,8586
Mujeres no abogadas,5360,160,0,8586
Mujeres no abogadas,5370,32,0,8586
Mujeres no abogadas,5375,23268,0.1,8586
Mujeres no abogadas,5384,64,0,8586
Mujeres no abogadas,5400,27163,0.2,8586
Mujeres no abogadas,5410,116,0,8586
Mujeres no abogadas,5418,1943,0,8586
Mujeres no abogadas,5422,741,0,8586
Mujeres no abogadas,5440,123,0,8586
Mujeres no abogadas,5443,111,0,8586
Mujeres no abogadas,5460,540,0,8586
Mujeres no abogadas,5482,109,0,8586
Mujeres no abogadas,5483,107,0,8586
Mujeres no abogadas,5500,23173,0.1,8586
Mujeres no abogadas,5504,973,0,8586
Mujeres no abogadas,5526,279,0,8586
Mujeres no abogadas,5547,300,0,8586
Mujeres no abogadas,5569,101,0,8586
Mujeres no abogadas,5580,41,0,8586
Mujeres no abogadas,5590,94993,0.6,8586
Mujeres no abogadas,5600,86825,0.5,8586
Mujeres no abogadas,5637,188,0,8586
Mujeres no abogadas,5645,892,0,8586
Mujeres no abogadas,5675,80,0,8586
Mujeres no abogadas,5676,212,0,8586
Mujeres no abogadas,5680,121,0,8586
Mujeres no abogadas,5690,427,0,8586
Mujeres no abogadas,5700,1301,0,8586
Mujeres no abogadas,5719,216,0,8586
Mujeres no abogadas,5733,69,0,8586
Mujeres no abogadas,5736,102,0,8586
Mujeres no abogadas,5762,541,0,8586
